Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Label
53,208,2,60,30,30,30.0,0.0,94,94,94.0,0.0,1192307.692,19230.76923,69.33333333,79.18543637,157,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,64,64,9615.384615,9615.384615,30,94,55.6,35.05424368,1228.8,0,0,0,69.5,60,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
31637,72054,1,6,6,6,6.0,0.0,6,6,6.0,0.0,499.625281,83.27088017,14410.8,18772.65489,40070,989,0,0.0,0.0,0,0,71043,17760.75,19876.34261,40070,989,20,100,13.87848003,69.39240014,6,6,6.0,0.0,0.0,0,0,1,7.0,6,229,0,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,5605202,5,30,6,6,6.0,0.0,0,0,0.0,0.0,5.352171073,0.892028512,1401300.5,2801268.373,5603203,3,5605202,1401300.5,2801268.373,5603203,3,0,0.0,0.0,0,0,100,0,0.892028512,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,1999.0,1999,1999,5603203.0,5603203,5603203,DDoS
49797,102,1,6,6,6,6.0,0.0,6,6,6.0,0.0,117647.0588,19607.84314,102.0,0.0,102,102,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,9803.921569,9803.921569,6,6,6.0,0.0,0.0,0,0,1,9.0,6,60,256,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,103356,13,894,405,0,68.76923077,127.1234006,1498,0,489.4285714,688.5549741,41797.28318,193.5059406,5439.789474,9228.033181,23690,1,103356,8613.0,11234.76294,25156,1,80151,13358.5,13417.44986,29432,218,428,232,125.7788614,67.72707922,0,1498,205.7142857,440.9165616,194407.4143,0,1,0,216.0,894,65535,122,6,32,0.0,0,0,0.0,0,0,Normal Traffic
53,53998,1,46,46,46,46.0,0.0,138,138,138.0,0.0,3407.533612,37.03840883,53998.0,0.0,53998,53998,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,32,18.51920441,18.51920441,46,138,76.66666667,53.11622477,2821.333333,0,0,0,115.0,46,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,5102369,5,285,222,0,57.0,94.48809449,241,0,83.0,104.1657333,137.1911753,1.959873933,566929.8889,1648675.329,4962895,4,67336,16834.0,18911.62988,33283,300,5069293,1267323.25,2463894.14,4962895,4,120,108,0.979936967,0.979936967,0,241,63.63636364,92.33555407,8525.854545,0,1,0,70.0,285,29200,11,4,20,0.0,0,0,0.0,0,0,Normal Traffic
53,23605,1,41,41,41,41.0,0.0,89,89,89.0,0.0,5507.307774,84.7278119,23605.0,0.0,23605,23605,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,42.36390595,42.36390595,41,89,57.0,27.71281292,768.0,0,0,0,85.5,41,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,3924926,4,24,6,6,6.0,0.0,0,0,0.0,0.0,6.114764966,1.019127494,1308308.667,2264327.849,3922929,3,3924926,1308308.667,2264327.849,3922929,3,0,0.0,0.0,0,0,80,0,1.019127494,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0,DDoS
443,40002891,72,1681,405,0,23.34722222,86.38175337,4344,0,1721.33913,753.417208,4990.514311,4.674662139,215069.3065,1780677.664,20000000,-1,40000000,563421.0,2860244.195,20000000,1,20000000,175598.5702,1311080.965,9995765,48,2316,3688,1.799869914,2.874792224,0,4344,1061.888298,1018.638088,1037623.554,0,1,0,1067.566845,1681,65535,130,8,32,68365.0,133206,33539,13300000.0,20000000,9866270,Normal Traffic
80,38023,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,52.59974226,38023.0,0.0,38023,38023,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,26.29987113,26.29987113,0,0,0.0,0.0,0.0,0,0,1,0.0,0,237,40,0,32,0.0,0,0,0.0,0,0,Normal Traffic
56857,92927044,7,11613,4380,0,1659.0,2117.072113,20,0,6.888888889,5.30199124,125.6361926,0.17217808,6195136.267,22600000.0,87700000,1,92900000,15500000.0,37000000.0,91000000,3,91000000,11400000.0,30900000.0,87700000,1,152,192,0.07532791,0.09685017,0,4380,687.1176471,1543.785926,2383274.985,0,0,1,730.0625,11613,229,256,5,20,3355170.0,3355170,3355170,87700000.0,87700000,87700000,Normal Traffic
80,105646665,16,2541,231,0,158.8125,110.5828309,6,0,2.0,3.464101615,24.10866448,0.179844768,5869259.167,12500000.0,51300000,62,106000000,7043106.667,13500000.0,51300000,539,103000000,51300000.0,28100000.0,71200000,31500000,536,100,0.151448226,0.028396542,0,231,127.35,117.5733925,13823.50263,0,1,0,134.0526316,2541,29200,0,11,32,4708012.0,9415499,525,19200000.0,51300000,5833815,DoS
443,35568329,6,31,31,0,5.166666667,12.655697,0,0,0.0,0.0,0.871561889,0.281148996,3952036.556,4862251.817,10000000,48,35600000,7113665.8,4452209.269,10000000,48,30100000,10000000.0,103.3650489,10000000,10000000,192,128,0.168689398,0.112459599,0,31,2.818181818,9.346851682,87.36363636,0,0,1,3.1,31,279,447,1,32,36865.0,36971,36670,8855205.25,10000000,5387295,Normal Traffic
80,99874354,7,330,330,0,47.14285714,124.7282761,5792,0,1932.5,2534.051598,119.4000214,0.130163545,8322862.833,28500000.0,98700000,4,99700000,16600000.0,40200000.0,98700000,4,205416,41083.2,89490.16437,201139,15,240,200,0.070088063,0.060075482,0,5792,851.7857143,1849.444415,3420444.643,0,0,1,917.3076923,330,251,235,1,32,242.0,242,242,98700000.0,98700000,98700000,DoS
53,107191,2,72,36,36,36.0,0.0,143,143,143.0,0.0,3339.832635,37.31656576,35730.33333,61881.55655,107185,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,40,40,18.65828288,18.65828288,36,143,78.8,58.60631365,3434.7,0,0,0,98.5,72,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,199,2,82,41,41,41.0,0.0,57,57,57.0,0.0,984924.623115578,20100.5025125628,66.3333333333,31.7542648054,103,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,64,64,10050.2512562814,10050.2512562814,41,57,47.4,8.7635609201,76.8,0,0,0,59.25,82,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,872,2,68,34,34,34.0,0.0,79,79,79.0,0.0,259174.311926605,4587.1559633028,290.6666666667,497.38750822,865,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,64,64,2293.5779816514,2293.5779816514,34,79,52.0,24.6475150877,607.5,0,0,0,65.0,68,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,49835,1,52,52,52,52.0,0.0,116,116,116.0,0.0,3371.124712,40.13243704,49835.0,0.0,49835,49835,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,20.06621852,20.06621852,52,116,73.33333333,36.95041723,1365.333333,0,0,0,110.0,52,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,23792,2,132,66,66,66.0,0.0,148,148,148.0,0.0,17989.24008,168.1237391,7930.666667,13730.25544,23785,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,40,40,84.06186954,84.06186954,66,148,98.8,44.91324972,2017.2,0,0,0,123.5,132,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
